SPY from 2006-Sep-20 to 2011-Sep-20,,,,,
Date,Open,High,Low,Close,Volume
21/06/2007,151.08,152.11,150.25,151.98,205262000
22/06/2007,151.52,151.77,149.85,150.55,204964700
25/06/2007,150.24,151.25,149.02,149.83,232014400
26/06/2007,150.21,150.46,148.28,148.29,197479600
27/06/2007,148.13,150.57,148.06,150.4,208853900
28/06/2007,150.38,151.41,149.67,150.38,157109200
29/06/2007,150.9,151.65,149.15,150.43,193427100
02/07/2007,150.87,151.92,150.77,151.79,103328300
03/07/2007,152.18,152.5,151.99,152.34,54048400
05/07/2007,152.4,152.56,151.63,152.18,89125500
06/07/2007,152.38,153.17,151.93,152.98,81105800
09/07/2007,153.16,153.36,152.62,153.1,71838200
10/07/2007,152.29,152.61,150.77,150.92,180344900
11/07/2007,150.75,152.05,150.52,151.99,175291800
12/07/2007,152.37,154.75,152.34,154.39,133536800
13/07/2007,154.57,155.46,154.39,154.85,111776000
16/07/2007,154.99,155.53,154.58,154.83,98355200
17/07/2007,154.93,155.48,154.68,154.75,124460100
18/07/2007,154.23,154.8,153.3,154.47,231250700
19/07/2007,155.2,155.53,154.75,155.07,145080500
20/07/2007,154.89,154.99,152.83,153.5,245462200
23/07/2007,154.18,154.72,153.3,153.97,119941900
24/07/2007,153.12,154.28,150.76,151.3,256732400
25/07/2007,152.02,152.39,150.25,151.61,264733200
26/07/2007,150.19,150.8,146.39,148.02,464877100
27/07/2007,148.21,148.87,145.05,145.11,422560000
30/07/2007,145.93,147.81,145.29,147.38,272688300
31/07/2007,148.33,149.46,145.04,145.72,316439600
01/08/2007,145.18,147.01,143.95,146.43,399628800
02/08/2007,146.76,147.76,145.26,147.6,294657700
03/08/2007,147.28,147.58,143.2,143.8,359345300
06/08/2007,144.21,146.83,142.53,146.21,324454600
07/08/2007,145.94,149,145.23,147.77,232532800
08/08/2007,148.41,150.59,147.34,149.83,273889500
09/08/2007,147.43,148.95,145.29,145.39,357622100
10/08/2007,144.39,146.5,143.12,144.71,410833800
13/08/2007,146.5,146.89,145.02,145.23,181917200
14/08/2007,145.7,146.06,142.72,143.01,264101700
15/08/2007,142.72,144.46,140.62,141.04,323711800
16/08/2007,139.79,142.94,137,142.1,546436100
17/08/2007,145.5,145.81,141.39,144.71,388124900
20/08/2007,145.17,145.47,143.29,144.64,187073300
21/08/2007,144.6,145.97,144.14,144.93,156972900
22/08/2007,146.01,146.8,145.33,146.65,171012700
23/08/2007,147.34,147.65,145.61,146.52,203853800
24/08/2007,146.48,148.33,146.28,148.33,128883300
27/08/2007,147.85,148.33,146.73,146.95,112992200
28/08/2007,146.16,146.25,143.46,143.72,225057300
29/08/2007,144.37,146.74,143.96,146.54,207490100
30/08/2007,145.45,147.19,145.31,146.15,191373500
31/08/2007,147.65,148.5,146.83,147.59,185454400
04/09/2007,147.45,149.98,147.4,149.08,119601200
05/09/2007,148.2,148.36,147,147.79,166239100
06/09/2007,147.95,148.61,147.12,148.13,127795300
07/09/2007,146.48,146.89,145.26,146.07,235427400
10/09/2007,146.52,146.72,144.33,145.79,192255500
11/09/2007,146.24,147.7,146.13,147.49,161928600
12/09/2007,147.29,148.44,146.98,147.87,149554600
13/09/2007,148.55,149.45,148.2,148.91,153835500
14/09/2007,147.96,149.09,147.74,148.9,121900000
17/09/2007,148.31,148.65,147.63,148.1,109832200
18/09/2007,148.83,152.5,148.13,152.46,262750200
19/09/2007,153.41,154.39,152.71,153.36,192627400
20/09/2007,153.34,153.43,152.11,152.28,174833000
21/09/2007,152.71,153.12,151.74,151.97,141457500
24/09/2007,152.42,152.82,151.36,151.69,139194300
25/09/2007,150.81,151.66,150.47,151.39,142289900
26/09/2007,152.25,152.77,151.39,152.19,135547000
27/09/2007,152.91,153.1,152.19,153.09,102695600
28/09/2007,152.85,153.19,151.98,152.58,133344500
